id,userId,courseId,certificateUrl,issuedAt
1,157,339,http://example.com/certificates/1,2024-01-03
2,198,1816,http://example.com/certificates/2,2024-05-12
3,476,1419,http://example.com/certificates/3,2024-11-27
4,493,1335,http://example.com/certificates/4,2024-07-13
5,434,153,http://example.com/certificates/5,2024-01-23
6,1,3584,http://example.com/certificates/6,2024-02-21
7,466,1120,http://example.com/certificates/7,2024-04-02
8,215,3548,http://example.com/certificates/8,2024-03-13
9,433,198,http://example.com/certificates/9,2024-07-01
10,494,2960,http://example.com/certificates/10,2024-04-04
11,176,3432,http://example.com/certificates/11,2024-05-29
12,435,1183,http://example.com/certificates/12,2024-09-30
13,385,2324,http://example.com/certificates/13,2024-01-06
14,433,1696,http://example.com/certificates/14,2024-02-17
15,168,2902,http://example.com/certificates/15,2024-07-23
16,197,344,http://example.com/certificates/16,2024-10-26
17,65,2080,http://example.com/certificates/17,2024-02-21
18,255,2649,http://example.com/certificates/18,2024-07-07
19,227,773,http://example.com/certificates/19,2024-10-02
20,137,3148,http://example.com/certificates/20,2024-11-06
21,285,1530,http://example.com/certificates/21,2024-10-31
22,299,1106,http://example.com/certificates/22,2024-05-22
23,365,1951,http://example.com/certificates/23,2024-09-22
24,387,1990,http://example.com/certificates/24,2024-04-15
25,175,1242,http://example.com/certificates/25,2024-01-04
26,110,1381,http://example.com/certificates/26,2024-10-08
27,380,215,http://example.com/certificates/27,2024-06-23
28,478,809,http://example.com/certificates/28,2024-07-27
29,434,1563,http://example.com/certificates/29,2024-04-12
30,157,2790,http://example.com/certificates/30,2024-06-12
31,481,1852,http://example.com/certificates/31,2024-08-21
32,158,3667,http://example.com/certificates/32,2024-04-18
33,347,255,http://example.com/certificates/33,2024-05-23
34,432,894,http://example.com/certificates/34,2024-06-09
35,181,240,http://example.com/certificates/35,2024-05-11
36,177,1073,http://example.com/certificates/36,2024-10-26
37,287,465,http://example.com/certificates/37,2024-03-09
38,377,1946,http://example.com/certificates/38,2024-07-10
39,498,1391,http://example.com/certificates/39,2024-06-18
40,1,1224,http://example.com/certificates/40,2024-05-07
41,68,1581,http://example.com/certificates/41,2024-04-20
42,114,3326,http://example.com/certificates/42,2024-05-17
43,169,1780,http://example.com/certificates/43,2024-03-21
44,86,1406,http://example.com/certificates/44,2024-05-28
45,421,3069,http://example.com/certificates/45,2024-03-02
46,341,1410,http://example.com/certificates/46,2024-10-16
47,337,856,http://example.com/certificates/47,2024-04-25
48,178,3576,http://example.com/certificates/48,2024-10-02
49,174,591,http://example.com/certificates/49,2024-06-02
50,57,4,http://example.com/certificates/50,2024-06-25
51,240,1473,http://example.com/certificates/51,2023-12-29
52,32,607,http://example.com/certificates/52,2024-03-25
53,224,598,http://example.com/certificates/53,2024-01-22
54,104,3037,http://example.com/certificates/54,2024-09-04
